"XNET","Xunlei Ltd","3.56","0","0","3.56","3.61","--","3.64","3.55"
"XTLY","Xactly Corp","11.6","0.05","0.43","11.6","11.65","--","11.65","11.35"
"YELP","Yelp","35.68","0.38","1.08","35.43","36","--","35.7","35.3"
"YEXT","Yext Inc","13.91","0.08","0.58","13.56","14.15","--","13.91","13.55"
"YGE","Yingli Green Energy Holding Co Ltd","2.34","-0.12","-4.88","2.31","2.37","--","2.49","2.23"
"YRD","Yirendai Ltd","24.23","0.17","0.71","24.14","24.33","--","24.32","23.93"
"YUME","YuMe Inc","4.01","-0.04","-0.99","4.01","4.02","--","4.06","3.99"
"YY","YY","51.41","0.76","1.5","50.82","51.42","--","51.48","50.28"
"ZBRA","Zebra Technologies Corp","96.56","2.27","2.41","96.56","96.58","--","96.65","94.34"
"ZEN","Zendesk, Inc.","27.6","-2.1","-7.07","27.61","27.9","--","28.9","26.82"
"ZG","Zillow","43.81","4.11","10.35","42.88","44.99","--","43.9","41.19"
"ZNGA","ZYNGA","3.2","0.36","12.68","3.18","3.2","--","3.23","2.96"
