"CTG","Computer Task Group Inc","-1.55","6.11","22.96","14.6","-63.06","-57.43","25.93"
"CUI","CUI Global Inc","-0.96","-9.65","-31.45","-48.31","-51.13","0.49","-40.29"
"CVV","CVD Equipment Corp","-2.16","1.66","-0.29","43.65","-18.84","-20.56","42.26"
"CY","Cypress Semiconductor","0.98","-1.03","4.18","43.85","42.03","-5.75","-38.5"
"CYOU","Changyou.com Limited","0.47","18.01","33.5","69.88","15.75","45.31","--"
"DATA","Tableau Software, Inc.","4.12","19.31","9.33","18.56","4.22","--","--"
"DBD","Diebold Nixdorf Inc","1.25","-2.08","6.99","16.99","-25.41","-26.49","-41.13"
"DDD","3D Systems Corporation","5.78","19.12","1.49","25.26","-64.63","-10.72","168.44"
"DGLT","Digiliti Money Group Inc","-5.27","-27.27","-17.95","-35.94","--","--","--"
"DGLY","Digital Ally Inc","1.24","2.53","-20.59","-4.71","-14.74","-25.55","-78.91"
"DHX","DHI Group Inc","-1.43","-23.33","-38.94","-50.92","-50.71","-65.67","--"
"DMRC","Digimarc Corp","1.72","6.31","13.46","5.47","-15.74","18.95","--"
"DQ","Daqo New Energy Corp","2.05","-2.83","-22.89","-26.72","-54.61","108.84","--"
"DRAM","Dataram Corp","7.02","2.52","-17.01","-27.38","-84.65","-92.87","-98.47"
"DST","DST Systems","0.65","1.76","5.74","2.59","33.13","128.16","55.95"
"DTRM","Determine Inc","-3.13","6.9","47.62","143.05","-43.54","-17.63","-91.43"
"DWCH","Datawatch Corp","2.41","18.06","13.33","65.37","-34.77","-30.33","68.65"
"DYSL","Dynasil Corporation of America","0","5.34","-0.72","-13.75","-7.44","-26.6","-21.14"
"ECOM","ChannelAdvisor Corp","-2.54","3.6","-19.01","-8.66","-59.66","--","--"
"EDGW","Edgewater Technology Inc","-1.93","0.56","6.58","-15.22","-1.79","83.29","-15.42"
"EGAN","eGain Corp","0","6.06","-16.67","-52.45","-73.68","-69.83","47.06"
"EGHT","EGHT","-0.19","-13.16","-16.72","17.33","32.13","221.95","791.89"
"EIGI","Endurance International Group Holdings Inc","2.55","15","2.55","-16.75","-37.01","--","--"
"ELON","Echelon Corp","-2.42","-3.9","23.08","13.44","-77.09","-86.09","-95.77"
"ENOC","EnerNOC Inc","-0.92","-12.2","-9.24","-24.05","-77.58","-11.76","--"
"ENV","Envestnet Inc","0.57","5.5","-7.31","18.81","-7.17","186.06","--"
"EPAY","Bottomline Technologies (DE) Inc","1.9","12.51","-6.71","2.27","-17.42","11.91","101.44"
"ESIO","Electro Scientific Industries Inc","1.28","12.5","3.19","0.85","-16.06","-48.85","-66.09"
"EVRI","Everi Holdings Inc","5.05","38.75","127.3","344","1.99","-15.8","-58.45"
"EXA","Exa Corp","0","-0.76","-20.89","0.69","29.06","--","--"
"EXAR","Exar Corp","0","-0.08","18.32","112.79","19.85","60.84","-6.15"
"EXTR","Extreme Networks Inc","4.45","27.65","60.54","159.01","60.25","128.46","117.85"
"FALC","FalconStor Software Inc","1.27","17.19","-40.49","-67.95","-74.32","-88.64","-96.65"
"FEYE","FireEye Inc.","3.71","19.61","35.59","-7.26","-63.16","--","--"
"FIT","Fitbit","-3.45","11.62","0.99","-55.69","--","--","--"
"FIVN","Five9, Inc","-1.72","20.01","27.68","114.49","192.19","--","--"
"FNJN","Finjan Holdings Inc","0","-4.97","24.8","50.88","-69.72","-97.24","-100"
"FORTY","Formula Systems 1985 Ltd","--","-1.84","-0.51","26.69","29.48","126.74","180.58"
"FRTN","Fortran Corp","0","-7.17","-43.5","-66.76","-77.4","-43.5","-98.01"
"FSLR","First Solar, Inc.","0.88","28.83","7.43","-33.53","-49.52","103.9","-48.22"
"FTEO","FRONTEO Inc","--","-10.17","-25.31","-51.53","16.02","--","--"
"FUEL","Rocket Fuel Inc","1.87","22.42","137.39","106.82","-83.16","--","--"
"GIGA","Giga-tronics Inc","0.01","0.1","-18.56","-36.8","-33.05","-24.76","-58.85"
"GLA","Glassbridge Enterprises Inc","0.41","18.45","-39.76","-69.88","-87.61","-91.78","-98.7"
"GLUU","Glu Mobile Inc","4.17","10.13","2.88","9.65","-41.72","-40.33","-80.72"
"GOGO","Gogo Inc","2.88","18.04","48.04","28.35","-3.22","--","--"
"GRVY","Gravity Co Ltd","-4.05","-24.7","-30.03","308.49","99.29","-17.9","-73.56"
"GSUM","Gridsum Holding Inc","2.92","-4.78","2.83","--","--","--","--"
"GUID","Guidance Software Inc","3.55","0.82","-15.35","28.84","-31.24","-31.39","-52.45"
"HAUP","Hauppauge Digital Inc","-23.73","-25","-23.09","-16.67","-66.67","-96.59","-99.25"
"HAWK","Blackhawk Network Holdings Inc.","0.84","7.04","12.82","32.11","70.13","--","--"
"HDP","Hortonworks Inc","10.4","4.5","11.61","-1.15","--","--","--"
"HIVE","Aerohive Networks","0","1.49","-21.95","-29.85","-58.22","--","--"
"HLIT","Harmonic Inc","0","-8.18","-2.88","51.65","-29.37","14.77","-43.07"
"HMNY","Helios and Matheson Analytics Inc","-5","-16.79","-41.98","60.56","-49.18","-30.06","-77.31"
"HOLI","Hollysys Automation Technologies Ltd","0.12","1.83","-5.57","-10.59","-26.12","80.72","108"
"HQCL","Hanwha Q Cells Co Ltd","7.29","-3.36","-17.15","-40.73","-76.27","-42.93","-95.45"
"HUBS","HubSpot, Inc.","0.64","18.54","30.35","61.71","--","--","--"
"IAIC","Information Analysis Inc","-14.17","-18.07","24.31","24.31","-31.98","20.17","-54.94"
"IDCC","InterDigital Inc","0.47","-1.22","-10.08","54.73","147.23","205.23","156.28"
"IDSY","ID Systems Inc","-2.64","1.13","5.56","21.32","14.86","3.81","-53.97"
"IGOI","iGO Inc","--","9.82","11.85","0.67","-4.13","-59.41","-93.01"
"III","Information Services Group Inc","1.86","5.13","0","-19.8","-37.52","139.42","-56.79"
"IIN","IntriCon Corp","0","5.88","22.45","60.71","23.97","39.1","28.57"
"IMI","Intermolecular Inc","-0.74","-6.49","-26.82","-64.54","-70.19","-87.8","--"
"IMMR","Immersion Corp","-10.34","-5.56","-23.33","12.1","-22.75","47.11","-19.23"
"IMPV","Imperva Inc","5.35","13.04","11.44","3.91","118.65","33.74","--"
"INAP","Internap Corp","5.3","-3.98","107.36","69","-51.78","-55.99","-82.07"
"INFN","Infinera Corp","-4.02","-3.24","1.92","-19.61","9.14","42.32","--"
"INOD","Innodata Inc","0","-7.14","-9.3","-10.55","-39.63","-66.95","-50.76"
"INPHQ","Interphase Corp","0","-32.61","127.27","1150","-99.53","-99.53","-99.76"
"INSE","Inspired Entertainment Inc","0.48","-2.31","28.66","6.94","--","--","--"
"INSG","Inseego Corp","0.56","-19.28","-43.22","29.5","0","-9.55","-90.99"
"INST","Instructure Inc","2.64","10.26","11.97","26.31","--","--","--"
"INVE","Identiv Inc","-0.53","-15.42","53.95","93.49","-35.15","-68.96","-85.44"
"INVN","InvenSense Inc","-0.39","2.56","4.06","77.7","-34.57","-0.62","--"
"INVT","Inventergy Global Inc","-5.03","-1.52","-59.03","-87.89","-99.73","-99.09","-99.76"
"INVU","Investview Inc","-6.25","3.45","900","-9.09","-97.58","-99.5","-99.96"
"IOTS","Adesto Technologies Corp","7.69","36.59","36.59","60.92","--","--","--"
"IPAS","iPass Inc","-0.81","0.83","-20.78","5.17","-26.95","-51.39","-76.58"
"IPDN","Professional Diversity Network Inc","1.4","-12.24","-22.34","89.52","-70.56","--","--"
"JASO","JA Solar Holdings Co Ltd","5.5","5.97","51.71","-14.77","-27.62","7.58","-82.5"
"JCS","Communications Systems Inc","-4.05","11.33","-6.85","-29.96","-62.07","-64.27","--"
"JIVE","Jive Software Inc","0","20.45","37.66","35.55","-32.23","-76.94","--"
"JKS","JinkoSolar Holding Co Ltd","3.36","1.38","16.93","-17.46","-38.16","206.52","--"
"JMU","JMU Ltd","-1.97","2.89","-12.01","-40.71","--","--","--"
"JTPY","JetPay Corp","-2.27","0","-14","-13.31","-1.83","-63.44","--"
"KEM","KEMET Corp","0.5","8.77","55.1","376.86","144.18","47.93","-54.96"
"KN","Knowles Corp","1.42","-5.25","-1.81","35.07","-37.47","--","--"
"KONE","Kingtone Wirelessinfo Solution Holding Ltd","1.39","-5.18","-11.38","62.15","-5.91","-18.49","--"
"KOPN","Kopin Corp","1.2","10.44","27.41","157.93","32.6","24.41","25.15"
"KTCC","Key Tronic Corp","-1.15","-4.59","-9.74","-2.56","-36.01","-43.86","51.77"
"KVHI","KVH Industries Inc","-0.62","0","-20","-6.21","-39.21","-12.28","-17.44"
"LDKYQ","LDK Solar Co Ltd","--","-30.65","-27.53","-52.22","-96.85","-99.55","--"
"LEJU","Leju","-0.32","-0.63","-20.91","-36.18","-70.82","--","--"
"LFGR","Leaf Group Ltd","-0.57","13.82","16.89","42.74","-58.11","-79.31","--"
"LLNW","Limelight Networks Inc","1.59","28","43.5","113.33","58.42","24.03","--"
"LOCMQ","Local Corp","--","-18.89","-29.81","82.5","-99.92","-99.94","-99.97"
"LPSN","LivePerson Inc","4.08","14.29","8.57","31.03","-21.89","-49.64","15.68"
"LQDT","Liquidity Services Inc","-3.29","0","-25","25.43","-57.98","-88.55","-63.16"
"LRAD","LRAD Corp","1.76","20.14","11.61","-5.98","-5.46","18.49","-50"
"LSCC","Lattice Semiconductor Corp","0","-3.04","-8.98","22.53","-17.66","34.88","25.75"
"LTRX","Lantronix Inc","-0.36","-20.52","31.58","139.11","48.65","17.52","-67.49"
"LUNA","Luna Innovations Inc","-4.07","-18.96","-30.19","33.03","-0.7","-13.49","-54.95"
"MARK","Remark Holdings Inc","-0.64","10.71","-6.06","-32.75","-45.52","-33.19","--"
"MATR","Mattersight Corp","4.76","-5.71","-7.04","-1.05","-46.25","-61.4","-85.96"
"MB","Mindbody Inc","-9.3","-2.82","4.44","75.25","--","--","--"
"MCHX","Marchex Inc","1.84","4.14","1.84","-32.11","-74.89","-17.31","-79.14"
"MJCO","Majesco","0.56","-0.19","5.07","-14.44","--","--","--"
"MLNK","ModusLink Global Solutions Inc","2.24","-0.31","-7.27","11.54","-58.68","-66.56","-92.88"
"MOBL","MobileIron Inc","2.15","7.95","4.4","52.24","--","--","--"
"MODN","Model N Inc","1.79","9.13","22.04","6.57","8.1","--","--"
"MOSY","MoSys Inc","8.22","-61.47","-70.04","-84.78","-97.85","-97.63","-99.11"
"MRAM","Everspin Technologies Inc","-1.07","5.86","14.41","--","--","--","--"
"MRIN","Marin Software Inc","0","-13.16","-25","-35.55","-82.54","--","--"
"MSDI","Monster Digital Inc","-10.08","-39.78","-59.56","--","--","--","--"
"MTLS","Materialise NV","1.3","20.2","23.03","67.69","--","--","--"
"MTSI","M/A-Com","2.8","-10.53","-3.65","19.25","164.35","129.85","--"
"MTWO","M2 Ngage Group Inc","--","0","-58.18","-61.02","-99.34","-99.93","-99.92"
"MULE","MuleSoft Inc","0.77","-4.94","--","--","--","--","--"
"MVIS","MicroVision Inc","4.48","-4.98","22.81","8.81","27.27","21.39","-93.69"
"MX","MagnaChip Semiconductor Corp","4.15","11.05","14.86","111.58","-30.16","-10.27","--"
"MXPT","MaxPoint Interactive Inc","-0.63","11.99","59.95","-20.03","--","--","--"
"MXWL","Maxwell Technologies Inc","-0.82","7.1","19.64","0.5","-62","-34.31","-47.01"
"NAME","Rightside Group Ltd","0.91","3.09","16.13","14.53","--","--","--"
"NCTY","The9 Ltd","-3.74","-0.96","-9.65","-52.53","-60.4","-82.6","-97.54"
"NEON","Neonode Inc","2.63","8.33","-13.33","-22.39","-68.92","-70","--"
"NETE","Net Element Inc","1.1","-2.47","-3.6","-73.68","-95.61","--","--"
"NEWR","New Relic Inc","0.83","5.4","10.55","61.97","--","--","--"
"NLST","Netlist Inc","0.82","29.49","14.95","-8.89","-24.54","-50.4","-67.55"
"NMRX","Numerex Corp","-0.47","-6.8","-27.47","-42.18","-58.33","-50.18","-60.13"
"NPTN","NeoPhotonics Corp","4.32","-11.99","-33.36","-34.59","31.87","70.62","--"
"NQ","NQ Mobile Inc","-0.81","-7.81","-7.58","-26.51","-68.72","-68.85","--"
"NSR","Neustar Inc","-0.15","-0.15","-0.15","45.46","30.05","-7.4","8.62"
"NTNX","Nutanix Inc","5.57","-12.56","-48.32","--","--","--","--"
"NUAN","Nuance Communications Inc","1.06","7.1","13.27","8.32","10.1","-23.15","15.37"
"NXES","Nexus Enterprise Solutions Inc","--","0","-37.5","-61.54","-81.48","-90","-99.5"
"OCC","Optical Cable Corp","0","7.55","-13.64","20.76","-23.01","-5.72","-46.02"
"OCLR","Oclaro Inc","2.82","-7.6","-14.48","72.63","200.72","229.02","-27.04"
"OIIM","O2micro International Ltd","0.83","6.52","-3.79","72.54","-33.6","-52.88","-77.52"
"OKTA","Okta Inc","0.72","6.98","--","--","--","--","--"
"ONSM","Onstream Media Corp","3.23","-5.88","6.77","198.79","60","-51.52","-97.75"
"ONVI","Onvia Inc","-7.45","0","-1.25","25.36","-14.03","10.13","-43.51"
"P","Pandora Media, Inc.","-0.37","-6.64","-18.84","14.35","-56.81","22.06","--"
