"DDD","3D Systems Corporation","1935925.11","Information Technology","NASDAQ","-57.4675"
"DGLT","Digiliti Money Group Inc","14198.4","Information Technology","NYSE","-0.4572"
"DGLY","Digital Ally Inc","23004","Information Technology","NASDAQ","-1.7668"
"DHX","DHI Group Inc","174521.7","Information Technology","NYSE","-34.6161"
"DMRC","Digimarc Corp","315591","Information Technology","NASDAQ","-12.3139"
"DQ","Daqo New Energy Corp","198790.2","Information Technology","NYSE","4.6457"
"DRAM","Dataram Corp","5879.18","Information Technology","NASDAQ","-1.3016"
"DST","DST Systems","3857640.6","Information Technology","NYSE","6.5529"
"DTRM","Determine Inc","40459.65","Information Technology","NASDAQ","-3.211"
"DWCH","Datawatch Corp","102212.5","Information Technology","NASDAQ","-10.7702"
"DYSL","Dynasil Corporation of America","23404.8","Information Technology","NASDAQ","6.8354"
"ECOM","ChannelAdvisor Corp","301863.5","Information Technology","NYSE","-37.7346"
"EDGW","Edgewater Technology Inc","95691.73","Information Technology","NASDAQ","-31.1683"
"EGAN","eGain Corp","47433.75","Information Technology","NASDAQ","-8.0004"
"EGHT","EGHT","1198042.275","Information Technology","NASDAQ","-446.7301"
"EIGI","Endurance International Group Holdings Inc","1146030.2","Information Technology","NASDAQ","-7.8313"
"ELON","Echelon Corp","26222.67","Information Technology","NASDAQ","-6.5787"
"ENOC","EnerNOC Inc","164327.4","Information Technology","NASDAQ","-3.2872"
"ENV","Envestnet Inc","1549184.5","Information Technology","NYSE","-26.8134"
"EPAY","Bottomline Technologies (DE) Inc","1021275.62","Information Technology","NASDAQ","-26.437"
"ESIO","Electro Scientific Industries Inc","232283.7","Information Technology","NASDAQ","-12.9266"
"EVRI","Everi Holdings Inc","440658.9","Information Technology","NYSE","-1.6812"
"EXA","Exa Corp","195307.9","Information Technology","NASDAQ","-179.6579"
"EXAR","Exar Corp","660552.2","Information Technology","NASDAQ","12.3222"
"EXTR","Extreme Networks Inc","963803.61","Information Technology","NASDAQ","-29.351"
"FALC","FalconStor Software Inc","16543.5","Information Technology","NASDAQ","-1.129"
"FEYE","FireEye Inc.","2634062.17","Information Technology","NASDAQ","-5.1059"
"FIT","Fitbit","1403811.3","Information Technology","NYSE","-12.2665"
"FIVN","Five9, Inc","1120015.93","Information Technology","NASDAQ","-79.1574"
"FNJN","Finjan Holdings Inc","39835.2","Information Technology","NASDAQ","-6.9161"
"FORTY","Formula Systems 1985 Ltd","0","Information Technology","NASDAQ","7.2446"
"FRTN","Fortran Corp","4171.734","Information Technology","NASDAQ","-31.1355"
"FSLR","First Solar, Inc.","3601623.96","Information Technology","NASDAQ","-5.8508"
"FTEO","FRONTEO Inc","0","Information Technology","NASDAQ","-21.7281"
"FUEL","Rocket Fuel Inc","253529.64","Information Technology","NASDAQ","-3.4098"
"GIGA","Giga-tronics Inc","7544.5","Information Technology","NASDAQ","-2.8701"
"GLA","Glassbridge Enterprises Inc","24121.84","Information Technology","NYSE","-0.1337"
"GLUU","Glu Mobile Inc","336855","Information Technology","NASDAQ","-3.482"
"GOGO","Gogo Inc","1145869.94","Information Technology","NASDAQ","-7.9926"
"GRVY","Gravity Co Ltd","51797.34","Information Technology","NASDAQ","-96.6801"
"GSUM","Gridsum Holding Inc","366929.9","Information Technology","NASDAQ","-13.0675"
"GUID","Guidance Software Inc","199854.72","Information Technology","NASDAQ","-11.3122"
"HAUP","Hauppauge Digital Inc","455.49","Information Technology","NASDAQ","-0.0781"
"HAWK","Blackhawk Network Holdings Inc.","2354594","Information Technology","NASDAQ","-412.5446"
"HDP","Hortonworks Inc","704155.95","Information Technology","NASDAQ","-2.366"
"HIVE","Aerohive Networks","216115.6","Information Technology","NYSE","-5.2772"
"HLIT","Harmonic Inc","406605.8","Information Technology","NASDAQ","-6.397"
"HMNY","Helios and Matheson Analytics Inc","13363.08","Information Technology","NASDAQ","-0.9663"
"HOLI","Hollysys Automation Technologies Ltd","971391.2","Information Technology","NASDAQ","11.0905"
"HQCL","Hanwha Q Cells Co Ltd","553577.64","Information Technology","NASDAQ","4.9616"
"HUBS","HubSpot, Inc.","2582681.4","Information Technology","NYSE","-54.7933"
"IAIC","Information Analysis Inc","2019.1605","Information Technology","NASDAQ","-3.682"
"IDCC","InterDigital Inc","2937565.4","Information Technology","NASDAQ","10.0876"
"IDSY","ID Systems Inc","88096.98","Information Technology","NASDAQ","-13.3918"
"IGOI","iGO Inc","8893.9","Information Technology","NASDAQ","-12.6013"
"III","Information Services Group Inc","138655.44","Information Technology","NASDAQ","-17.7355"
"IIN","IntriCon Corp","61416","Information Technology","NASDAQ","-11.9142"
"IMI","Intermolecular Inc","39905.46","Information Technology","NASDAQ","-2.5918"
"IMMR","Immersion Corp","237686.6","Information Technology","NASDAQ","-6.4045"
"IMPV","Imperva Inc","1580748.75","Information Technology","NYSE","-20.4189"
