"DDD","3D Systems Corporation","1.61","-6.07","-4.77","1.3","25.93","2.86"
"DGLT","Digiliti Money Group Inc","--","-190.18","--","-33.67","-0.89","-0.53"
"DGLY","Digital Ally Inc","--","-76.69","-65.63","52.1","-2.36","2.97"
"DHX","DHI Group Inc","0.88","-2.38","-4.45","81.59","4.55","1.84"
"DMRC","Digimarc Corp","--","-99.44","-38.64","0","-19.45","4.14"
"DQ","Daqo New Energy Corp","0.26","18.98","17.39","90.21","2.53","0.72"
"DRAM","Dataram Corp","--","-4.85","-111.93","--","-1.76","4.17"
"DST","DST Systems","1.22","27.45","59.48","45.57","8.31","2.92"
"DTRM","Determine Inc","--","-67.27","-81.67","119.76","-7.36","7.18"
"DWCH","Datawatch Corp","--","-48.03","-24.59","0","-26.72","3.42"
"DYSL","Dynasil Corporation of America","--","1.58","22.82","43.92","9.12","1.24"
"ECOM","ChannelAdvisor Corp","--","-7.07","-9.4","1.45","42.57","3.52"
"EDGW","Edgewater Technology Inc","0.36","-2.24","-3.77","6.6","10.43","1.24"
"EGAN","eGain Corp","--","-8.99","--","-513.18","-156.74","-5.74"
"EGHT","EGHT","2.64","-2.45","-1.07","0","48.72","4.69"
"EIGI","Endurance International Group Holdings Inc","--","-6.55","-77.51","1603.26","6.47","8.24"
"ELON","Echelon Corp","--","-12.67","-14.28","0","-8.38","1.11"
"ENOC","EnerNOC Inc","--","-12.48","-46.17","144.61","-13.65","2.18"
"ENV","Envestnet Inc","0.88","-9.61","-12.37","46.04","26.58","3.64"
"EPAY","Bottomline Technologies (DE) Inc","2.74","-5.72","-10.82","58.19","16.01","3.37"
"ESIO","Electro Scientific Industries Inc","--","-6.65","-10.21","0","-84.61","1.45"
"EVRI","Everi Holdings Inc","--","-29.03","-181.48","-1040.77","3.68","-3.89"
"EXA","Exa Corp","--","-1.56","-6.41","13.83","39.85","10.69"
"EXAR","Exar Corp","0.68","-10.73","23.76","2.36","39.46","2.26"
"EXTR","Extreme Networks Inc","0.53","-6.03","-28.89","61.53","31.51","9.84"
"FALC","FalconStor Software Inc","--","-36.34","--","--","-1.98","-0.69"
"FEYE","FireEye Inc.","--","-67.23","-40.5","88.21","-32.63","2.6"
"FIT","Fitbit","--","-4.74","-10.2","0","-15.28","1.29"
