"ELON","Echelon Corp","--","--","--","--","-27.0252"
"ENOC","EnerNOC Inc","-1.72","--","--","8.301","7.105"
"ENV","Envestnet Inc","0.98","--","--","30.686","36.2397"
"EPAY","Bottomline Technologies (DE) Inc","1.52","--","--","1.677","12.6318"
"ESIO","Electro Scientific Industries Inc","-0.05","--","--","-38.763","-6.4109"
"EVRI","Everi Holdings Inc","-1.49","--","--","0.148","9.5759"
"EXA","Exa Corp","0.03","--","--","-22.182","9.5975"
"EXAR","Exar Corp","0.31","--","--","16.262","0.4578"
"EXTR","Extreme Networks Inc","0.28","--","--","12.081","9.5797"
"FALC","FalconStor Software Inc","--","--","--","--","-18.2471"
"FEYE","FireEye Inc.","-0.99","--","--","--","84.2196"
"FIT","Fitbit","-0.12","--","--","--","--"
"FIVN","Five9, Inc","-0.07","--","0.04","--","30.2803"
"FNJN","Finjan Holdings Inc","-0.28","--","--","--","42.2922"
"FORTY","Formula Systems 1985 Ltd","--","--","--","--","6.4271"
"FRTN","Fortran Corp","--","--","--","--","--"
"FSLR","First Solar, Inc.","5.17","0.57","0.74","3.992","1.304"
"FTEO","FRONTEO Inc","-0.03","--","--","--","22.4823"
"FUEL","Rocket Fuel Inc","-0.59","--","--","--","59.175"
"GIGA","Giga-tronics Inc","--","--","--","--","-7.0428"
"GLA","Glassbridge Enterprises Inc","--","--","--","--","-49.0971"
"GLUU","Glu Mobile Inc","-0.31","--","--","--","24.8263"
"GOGO","Gogo Inc","-1.58","--","--","--","30.083"
"GRVY","Gravity Co Ltd","--","--","--","--","-10.3619"
"GSUM","Gridsum Holding Inc","-5.76","--","--","--","--"
"GUID","Guidance Software Inc","-0.05","--","--","--","1.1066"
"HAUP","Hauppauge Digital Inc","--","--","--","--","--"
"HAWK","Blackhawk Network Holdings Inc.","1.43","1.64","1.99","25.551","20.3703"
"HDP","Hortonworks Inc","-2.58","--","--","--","--"
"HIVE","Aerohive Networks","-0.25","--","0.09","--","37.9803"
"HLIT","Harmonic Inc","-0.04","--","--","-13.123","-5.8719"
"HMNY","Helios and Matheson Analytics Inc","--","--","--","--","-11.1443"
"HOLI","Hollysys Automation Technologies Ltd","2.02","--","--","10.683","15.6732"
"HQCL","Hanwha Q Cells Co Ltd","1.45","--","--","36.26","19.5137"
"HUBS","HubSpot, Inc.","-0.36","--","0.29","--","56.8386"
"IAIC","Information Analysis Inc","--","--","--","--","-2.963"
"IDCC","InterDigital Inc","8.78","--","--","30.069","17.1517"
"IDSY","ID Systems Inc","-0.22","--","--","48.324","-1.2901"
"IGOI","iGO Inc","--","--","--","--","-63.1426"
"III","Information Services Group Inc","--","--","--","--","3.2587"
"IIN","IntriCon Corp","-0.26","--","--","8.51","3.9407"
"IMI","Intermolecular Inc","-0.24","--","--","--","-2.5541"
"IMMR","Immersion Corp","-0.17","--","--","54.44","13.2563"
"IMPV","Imperva Inc","-0.07","--","--","--","27.5604"
"INAP","Internap Corp","-0.52","--","--","-15.91","4.0468"
"INFN","Infinera Corp","0.34","--","--","27.907","16.534"
"INOD","Innodata Inc","--","--","--","--","-3.1294"
"INPHQ","Interphase Corp","--","--","--","--","--"
"INSE","Inspired Entertainment Inc","--","--","--","--","--"
"INSG","Inseego Corp","-0.23","--","--","77.658","-8.2026"
"INST","Instructure Inc","-1.55","--","--","--","--"
"INVE","Identiv Inc","-1.25","--","--","-40.391","-11.3708"
"INVN","InvenSense Inc","0.49","--","--","-15.359","34.0817"
"INVT","Inventergy Global Inc","--","--","--","--","-40.3083"
"INVU","Investview Inc","--","--","--","--","-29.3591"
"IOTS","Adesto Technologies Corp","-0.6","--","--","--","--"
"IPAS","iPass Inc","-0.12","--","--","29.099","-14.7926"
"IPDN","Professional Diversity Network Inc","--","--","--","--","36.3293"
"JASO","JA Solar Holdings Co Ltd","1.9","--","--","38.496","7.2779"
"JCS","Communications Systems Inc","--","--","--","-35.164","-7.1249"
"JIVE","Jive Software Inc","0.1","--","--","--","21.4359"
"JKS","JinkoSolar Holding Co Ltd","4.72","--","--","43.805","22.9377"
"JMU","JMU Ltd","--","--","--","--","--"
"JTPY","JetPay Corp","-0.52","--","--","--","--"
"KEM","KEMET Corp","0.17","--","--","29.23","-6.3203"
"KN","Knowles Corp","0.94","--","--","-3.535","-2.6603"
"KONE","Kingtone Wirelessinfo Solution Holding Ltd","--","--","--","--","-28.6132"
"KOPN","Kopin Corp","-0.38","--","--","-50.87","-29.6223"
"KTCC","Key Tronic Corp","--","--","--","--","13.8225"
"KVHI","KVH Industries Inc","0.44","--","--","11.775","9.3716"
"LDKYQ","LDK Solar Co Ltd","--","--","--","--","--"
"LEJU","Leju","0.07","--","0.2466","-67.916","32.483"
"LFGR","Leaf Group Ltd","-0.91","--","--","-57.904","-18.9745"
"LLNW","Limelight Networks Inc","0.01","--","--","--","-0.3596"
"LOCMQ","Local Corp","--","--","--","--","--"
"LPSN","LivePerson Inc","-0.14","--","--","-21.234","10.8527"
"LQDT","Liquidity Services Inc","-0.02","--","--","-40.555","-0.6765"
"LRAD","LRAD Corp","--","--","--","--","-9.199"
"LSCC","Lattice Semiconductor Corp","0.14","--","--","-9.483","6.0501"
"LTRX","Lantronix Inc","-0.13","--","--","--","-3.8207"
"LUNA","Luna Innovations Inc","-0.09","--","--","--","10.7024"
"MARK","Remark Holdings Inc","-1.54","--","--","--","64.0583"
"MATR","Mattersight Corp","-0.86","--","--","--","7.668"
"MB","Mindbody Inc","-0.35","--","--","--","--"
"MCHX","Marchex Inc","-0.16","--","--","-13.128","-2.4597"
"MJCO","Majesco","--","--","--","--","--"
"MLNK","ModusLink Global Solutions Inc","--","--","--","--","-12.1342"
"MOBL","MobileIron Inc","-0.36","--","--","--","63.9087"
"MODN","Model N Inc","-0.64","--","--","--","10.4186"
"MOSY","MoSys Inc","-2.92","--","--","-62.732","-15.649"
"MRAM","Everspin Technologies Inc","-3.52","--","--","--","--"
"MRIN","Marin Software Inc","--","--","--","--","22.5581"
"MSDI","Monster Digital Inc","--","--","--","--","--"
"MTLS","Materialise NV","-0.06","--","--","--","--"
"MTSI","M/A-Com","1.91","2.64","3.02","22.882","11.8971"
"MTWO","M2 Ngage Group Inc","--","--","--","--","18.7402"
"MULE","MuleSoft Inc","--","--","--","--","--"
"MVIS","MicroVision Inc","-0.32","--","--","--","21.3172"
"MX","MagnaChip Semiconductor Corp","-0.13","--","--","-10.442","-3.9501"
"MXPT","MaxPoint Interactive Inc","-2.04","--","--","--","58.9869"
"MXWL","Maxwell Technologies Inc","-0.68","--","--","--","-5.0751"
"NAME","Rightside Group Ltd","-1.51","--","--","--","-17.2876"
"NCTY","The9 Ltd","--","--","--","--","-12.5326"
"NEON","Neonode Inc","-0.12","--","--","18.696","10.9777"
"NETE","Net Element Inc","--","--","--","--","--"
"NEWR","New Relic Inc","-0.85","--","--","--","--"
"NLST","Netlist Inc","-0.21","--","--","--","-26.7599"
"NMRX","Numerex Corp","-1.25","--","--","-24.971","3.8947"
"NPTN","NeoPhotonics Corp","0.5","--","--","11.487","15.4"
"NQ","NQ Mobile Inc","--","--","--","--","53.1844"
"NSR","Neustar Inc","5.69","--","--","24.186","14.2889"
"NTNX","Nutanix Inc","--","--","--","--","--"
"NUAN","Nuance Communications Inc","1.52","--","--","-1.261","8.125"
"NXES","Nexus Enterprise Solutions Inc","--","--","--","--","109.9687"
"OCC","Optical Cable Corp","--","--","--","--","-2.501"
"OCLR","Oclaro Inc","0.17","--","--","--","-2.6485"
"OIIM","O2micro International Ltd","-0.12","--","--","-19.019","-14.5679"
"OKTA","Okta Inc","--","--","--","--","--"
"ONSM","Onstream Media Corp","--","--","--","--","--"
"ONVI","Onvia Inc","--","--","--","--","1.1836"
"P","Pandora Media, Inc.","-0.51","--","--","22.474","38.236"
"PAY","Verifone Systems Inc","1.66","--","--","-9.656","8.8473"
"PCMI","PCM Inc","1.4","--","--","33.244","9.1122"
"PCTI","PCTEL Inc","0.2","--","--","-5.693","4.7068"
"PCTY","Paylocity Corp.","0.3","0.58","0.87","--","42.8111"
"PFPT","Proofpoint Inc","0.37","--","--","--","35.622"
"PFSW","PFSweb Inc","0.11","--","--","--","2.294"
"PI","Impinj Inc","0.22","--","--","--","--"
"PLPM","Planet Payment Inc","0.16","--","--","52.765","5.3571"
"PRCP","Perceptron Inc","-0.32","--","--","-6.907","3.1267"
"PRGS","Progress Software Corp","1.65","--","--","12.405","-5.3498"
"PRGX","PRGX Global Inc","0.04","--","--","-23.123","-7.0609"
"PRKR","ParkerVision Inc","-1.76","--","--","--","--"
"PRO","PROS Holdings Inc","-0.92","--","--","-8.68","9.6641"
"PSDO","Presidio Inc","--","--","--","--","--"
"PSTG","Pure Storage","-0.5","--","0.2","--","--"
"QADB","QAD Inc","--","--","--","--","2.3695"
"QBAK","Qualstar Corp","--","--","--","--","-12.4446"
"QNST","Quinstreet Inc","0.02","--","--","-49.613","-5.8778"
"QTM","Quantum Corp","-0.08","--","--","-11.093","-6.6735"
"QTWO","Q2 Holdings Inc","-0.32","--","--","--","40.9721"
"QUIK","QuickLogic Corp","-0.26","--","--","--","-11.4425"
"QUMU","Qumu Corp","-1.23","--","--","-27.33","-17.6458"
"QUOT","Quotient Technology Inc","0.12","0.28","0.44","15.47","24.6834"
"RATE","Bankrate","0.61","0.7","0.8","3.584","0.4653"
"RBCN","Rubicon Technology Inc","--","--","--","--","-31.8975"
"REDFY","Rediff.com India Ltd","--","--","--","--","--"
"REFR","Research Frontiers Inc","-0.18","--","--","--","7.8793"
"RELL","Richardson Electronics Ltd","-0.14","--","--","-52.72","-2.2176"
"RESN","Resonant Inc","-1.57","--","--","--","--"
"RFIL","RF Industries Ltd","--","--","--","--","9.2469"
"RMGN","RMG Networks Holding Corp","-0.13","--","--","--","--"
"RNG","RNG","0.09","0.16","0.26","--","36.9315"
"RNWK","RealNetworks Inc","-0.99","--","--","-48.87","-18.5319"
"RPD","Rapid7 Inc","-0.71","--","--","--","--"
"RST","Rosetta Stone Inc","-1.25","--","--","--","-6.281"
"RSYS","Radisys Corp","0.25","--","--","0.322","-8.4839"
"RUBI","Rubicon Project Inc","1.14","--","--","--","49.6578"
"SALE","RetailMeNot Inc","0.69","--","--","-14.062","28.3834"
"SANM","Sanmina","2.54","1.91","2.15","21.338","-0.37"
"SCKT","Socket Mobile Inc","--","--","--","--","3.4903"
"SCON","Superconductor Technologies Inc","-3.53","--","--","--","-48.1599"
"SCOR","Comscore Inc","-0.18","--","--","-57.21","16.0794"
"SCWX","SecureWorks","-0.19","--","0.04","--","--"
"SEAC","SeaChange International Inc","-0.6","--","--","-26.279","-15.7752"
"SFUN","Soufun Holdings Ltd-ADR","-0.37","--","0.1824","-3.198","21.6602"
"SHOR","Shoretel Inc","0.18","--","--","-28.021","12.4798"
"SIGM","Sigma Designs Inc","-0.11","--","--","28.667","3.8463"
